slug	field	width	height	ratio	url
garh-maharaja-shorkot	Image 1	1080	573	1.8848	https://sultan-bahoo.com/wp-content/uploads/2021/06/WhatsApp-Image-2021-06-14-at-5.20.38-PM.jpeg
golra-sharif	Image 1	1805	1200	1.5042	https://upload.wikimedia.org/wikipedia/commons/0/0c/Mausoleum_of_Meher_Ali_Shah_by_Balochlens.jpg
gorakhnath-goraknath-temple	Image 1	1200	1600	0.7500	https://commons.wikimedia.org/wiki/Special:FilePath/Gorakhnath_Temple_in_Peshawar_Old_City,_Pakistan.jpg
gori-temple-gori-jo-mandar	Image 1	6000	4000	1.5000	https://commons.wikimedia.org/wiki/Special:FilePath/Ghori_Temple%2C_Tharparkar.jpg
gurdwara-babay-de-ber	Image 1	2048	1152	1.7778	https://commons.wikimedia.org/wiki/Special:FilePath/Main_Deewan_Hall_view_Gurudwara_Beri_Sahib_Sialkot_Punjab_Pakistan.jpg
gurdwara-balila-sahib-bal-lila-sahib	Image 1	700	433	1.6166	https://commons.wikimedia.org/wiki/Special:FilePath/Photograph_of_Gurdwara_Bal_Leela_Sahib,_by_Dhanna_Singh_Chahal_'Patialvi',_1_October_1933.jpg
gurdwara-bhai-joga-singh	Image 1	670	435	1.5402	https://www.sikhiwiki.org/images/f/f0/Jogasingh_aw.jpg
gurdwara-chakki-sahib	Image 1	2048	1338	1.5306	https://commons.wikimedia.org/wiki/Special:FilePath/Photograph_of_Guru_Nanak%27s_%22chakki%22_%28hand-millstone%29_relic_at_Gurdwara_Chakki_Sahib%2C_Eminabad%2C_taken_by_Dhanna_Singh_Chahal_%27Patialvi%27%2C_4_October_1932.jpg
gurdwara-darbar-sahib-kartarpur	Image 1	3978	2983	1.3336	https://upload.wikimedia.org/wikipedia/commons/6/66/Gurdwara_Darbar_Sahib_Kartarpur_04.jpg
gurdwara-dera-sahib	Image 1	330	401	0.8229	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Gurdwara_Dera_Sahib_Lahore.jpg/330px-Gurdwara_Dera_Sahib_Lahore.jpg
gurdwara-guru-ram-das-ji	Image 1	3891	2912	1.3362	https://commons.wikimedia.org/wiki/Special:FilePath/Gurudwara_Ram_Das,_Lahore.jpg
gurdwara-panja-sahib	Image 1	330	247	1.3360	https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/PanjaSahibHasanAbdal.jpg/330px-PanjaSahibHasanAbdal.jpg
gurdwara-patshahi-chhevin-hadiara-lahore	Image 1	2439	1945	1.2540	https://commons.wikimedia.org/wiki/Special:FilePath/Mural_depicting_the_Battle_of_Kartarpur_(April_1635)_from_Gurdwara_Chhevin_Patshahi,_Hadiara,_Lahore_district.jpg
gurdwara-rori-sahib	Image 1	1200	900	1.3333	https://dvncorestorageprod.blob.core.windows.net/files/page/166/Image/Rori%20Sahib_20240830070623556.jpg
gurdwara-sahib-saidpur-guru-nanak-dev-ji	Image 1	6000	4000	1.5000	https://commons.wikimedia.org/wiki/Special:FilePath/Gurdwara_in_Saidpur_ICT_20180515134753_IMG_0331.jpg
gurdwara-shaheed-bhai-taru-singh	Image 1	450	550	0.8182	https://www.discoversikhism.com/images/gurdwara/gurdwara_sri_shaheed_ganj_bhai_taru/gurdwara_sri_shaheed_ganj_bhai_taru1.jpg
gurdwara-sri-kiara-sahib	Image 1	1200	904	1.3274	https://www.discoversikhism.com/images/gurdwara/gurdwara_sri_kiara_sahib/gurdwara_sri_kiara_sahib1.jpg
gurudwara-janam-asthan-nankana-sahib	Image 1	5312	2988	1.7778	https://upload.wikimedia.org/wikipedia/commons/8/85/Gurdwara_Janam_Asthan_%28151717%29.jpg
kalat-kali-temple	Image 1	1261	743	1.6972	https://commons.wikimedia.org/wiki/Special:FilePath/Kalat_Kali_Temple_at_Kalat_City.jpg
kalka-cave-temple-asthan-of-kalka-devi	Image 1	4288	2848	1.5056	https://commons.wikimedia.org/wiki/Special:FilePath/Kalka_Cave_Temple_by_Usma_Ghani.jpg
katas-raj-temples	Image 1	4128	2322	1.7778	https://commons.wikimedia.org/wiki/Special:FilePath/Katas_Raj_temples.jpg
khatwari-darbar-shikarpur	Image 1	2048	1620	1.2642	https://commons.wikimedia.org/wiki/Special:FilePath/Fresco_depicting_Bhai_Khanaiya_meeting_Guru_Gobind_Singh_from_Sri_Khat_Wari_Darbar%2C_Shikarpur%2C_Sindh.jpg
krishna-mandir-kabari-bazar	Image 1	720	464	1.5517	https://commons.wikimedia.org/wiki/Special:FilePath/Shikara_of_Shri_Krishna_Mandir_Rawalpindi.jpg
krishna-mandir-ravi-road	Image 1	800	444	1.8018	https://commons.wikimedia.org/wiki/Special:FilePath/Krishna_Mandir,_Lahore.jpg
lal-shahbaz-qalandar	Image 1	500	333	1.5015	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Shrine_Lal_Shahbaz_Qalandar%2C_Sehwan_Shareef%2C_Sindh%2C_Pakistan.jpg/500px-Shrine_Lal_Shahbaz_Qalandar%2C_Sehwan_Shareef%2C_Sindh%2C_Pakistan.jpg
langer-makhdoom	Image 1	405	639	0.6338	https://live.staticflickr.com/8098/8422587223_6782e83476_z.jpg
loh-temple-lava-temple	Image 1	1024	768	1.3333	https://commons.wikimedia.org/wiki/Special:FilePath/Temple_associated_with_Loh.JPG
mausoleum-of-waris-shah	Image 1	800	790	1.0127	https://commons.wikimedia.org/wiki/Special:FilePath/Portrait_of_the_Punjabi_poet_Waris_Shah_(Lahore,_ca.1859).jpg
mazar-of-bulleh-shah	Image 1	1500	900	1.6667	https://upload.wikimedia.org/wikipedia/commons/f/f8/Shrine_Hazrat_Baba_Bulleh_Shah.jpg
mithankot-kot-mithan	Image 1	5347	3648	1.4657	https://upload.wikimedia.org/wikipedia/commons/e/e7/Tomb_of_Khwaja_Ghulam_Farid.jpg
mohra-sharif-khanqah	Image 1	5184	3456	1.5000	https://commons.wikimedia.org/wiki/Special:FilePath/Darbar_e_aliya_mohra_sharif.jpg
nagarparkar-jain-temples-nagarparkar-cultural-landscape	Image 1	3648	2736	1.3333	https://commons.wikimedia.org/wiki/Special:FilePath/Bhodesar_temple,_Nagarparkar.JPG
parnami-mandir	Image 1	1440	1200	1.2000	https://maariawaseem.wordpress.com/wp-content/uploads/2021/02/img_2918.jpg?w=1440&h=1200&crop=1
prahladpuri-temple	Image 1	5184	3456	1.5000	https://commons.wikimedia.org/wiki/Special:FilePath/Prahladpuri_Temple_View.jpg
ram-mandir-saidpur-ram-kund-mandir	Image 1	3456	5184	0.6667	https://commons.wikimedia.org/wiki/Special:FilePath/The_Hindu_Temple_at_Saidur_Village.JPG
ramapir-temple-tando-allahyar	Image 1	720	1151	0.6255	https://commons.wikimedia.org/wiki/Special:FilePath/RAMAPIR_TEMPLE_TANDOALLAHYAR.jpg
ranmal-sharif	Image 1	664	462	1.4372	https://mbdin.com/wp-content/uploads/2020/05/village-ranmal.jpg
sadh-belo-sadh-belo-island-temple	Image 1	640	480	1.3333	https://commons.wikimedia.org/wiki/Special:FilePath/A_woman_reciting_the_Gita_at_the_Sadh_Belo_temple_on_the_special_occasion_of_the_150th_death_anniversary_of_Baba_Bhankandi_Maharaj.jpg
sakhi-sarwar	Image 1	800	480	1.6667	https://i.dawn.com/large/2014/04/534cf2d7bc3ab.jpg
samadhi-of-maharaja-ranjit-singh	Image 1	2096	2674	0.7838	https://commons.wikimedia.org/wiki/Special:FilePath/Samadhi%20of%20Ranjit%20Singh%20123.jpg
shah-noorani-shrine-syed-bilawal-shah-noorani	Image 1	1536	2048	0.7500	https://commons.wikimedia.org/wiki/Special:FilePath/Mazar_Noorani_Shah_Baba_Balochistan_-_panoramio.jpg
shah-yousuf	Image 1	1200	675	1.7778	https://api.salampakistan.gov.pk/photo-1626121387010.jpeg
shahwala-teja-singh-mandir	Image 1	599	479	1.2505	https://commons.wikimedia.org/wiki/Special:FilePath/Shawala_Teja_Singh_Temple,_Sialkot.jpg
shaktipeeth-shri-hinglaj-mata-mandir	Image 1	1280	720	1.7778	https://static.toiimg.com/thumb/msid-109525095,width-1280,height-720,imgsize-210290,resizemode-6,overlay-toi_sw,pt-32,y_pad-40/photo.jpg
shamsabad	Image 1	640	480	1.3333	https://miro.medium.com/1*eyT2zQwnT7gT4J6YiR_xIQ.jpeg
sharada-peeth	Image 1	3840	2160	1.7778	https://commons.wikimedia.org/wiki/Special:FilePath/Shardah_Peeth,_Neelum_Valley,_Azad_Kashmir.jpg
shergarh	Image 1	1200	630	1.9048	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiqCSqLOfY4b3GWljdX3Pd6G8q5Hi06Dvh4PBflpT6jQQHnl67K5bGoGv6TXuGu0vO-ehaXvsTu5fX0YbcZrjO_mnbZySI4Y1AUocy-ykeYK1-zQrNjP7ZL80JzTv1cSaX3eDnq4bYI8NQ/w1200-h630-p-k-no-nu/DSC_8686.jpg
shiv-mandir-chiti-ghati	Image 1	716	481	1.4886	https://commons.wikimedia.org/wiki/Special:FilePath/Mansehra_Shiva_Temple.jpg
shree-ratneshwar-mahadev-temple-karachi	Image 1	1936	2592	0.7469	https://commons.wikimedia.org/wiki/Special:FilePath/The_remains_of_a_Hindu_Temple,near_Jehangir_Kothari_Parade.JPG
shri-laxmi-narayan-mandir-native-jetty-bridge	Image 1	4608	3456	1.3333	https://commons.wikimedia.org/wiki/Special:FilePath/Shri_Laxmi_Narayan_Mandir.JPG
shri-panchmukhi-hanuman-mandir-karachi	Image 1	611	699	0.8741	https://commons.wikimedia.org/wiki/Special:FilePath/Punchamukhi_Hanuman_Temple_1.jpg
shri-swaminarayan-mandir-karachi	Image 1	640	480	1.3333	https://commons.wikimedia.org/wiki/Special:FilePath/Karachi_Mandir.jpg
shri-varun-dev-mandir	Image 1	1224	1632	0.7500	https://commons.wikimedia.org/wiki/Special:FilePath/Mandir_tower.JPG
shrine-at-odero-lal-udero-lal-teerath-asthan	Image 1	4224	3168	1.3333	https://commons.wikimedia.org/wiki/Special:FilePath/Shrine_at_Odero_Lal.jpg
shrine-of-abdullah-shah-ghazi	Image 1	3050	2288	1.3330	https://upload.wikimedia.org/wikipedia/commons/4/46/Abdullah_Shah_Ghazi_Mausoleum_%28Pic2%29.jpg
shrine-of-abul-faiz-qalander-ali-suharwardi	Image 1	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-faiz-qalander-ali-suharwardi/abul-faiz-qalander-ali-suharwardi-01.jpg
shrine-of-abul-faiz-qalander-ali-suharwardi	Image 2	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-faiz-qalander-ali-suharwardi/abul-faiz-qalander-ali-suharwardi-02.jpg
shrine-of-abul-faiz-qalander-ali-suharwardi	Image 3	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-faiz-qalander-ali-suharwardi/abul-faiz-qalander-ali-suharwardi-03.jpg
shrine-of-abul-faiz-qalander-ali-suharwardi	Image 4	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-faiz-qalander-ali-suharwardi/abul-faiz-qalander-ali-suharwardi-04.jpg
shrine-of-abul-faiz-qalander-ali-suharwardi	Image 5	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-faiz-qalander-ali-suharwardi/abul-faiz-qalander-ali-suharwardi-05.jpg
shrine-of-abul-faiz-qalander-ali-suharwardi	Image 6	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-faiz-qalander-ali-suharwardi/abul-faiz-qalander-ali-suharwardi-06.jpg
shrine-of-abul-faiz-qalander-ali-suharwardi	Image 7	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-faiz-qalander-ali-suharwardi/abul-faiz-qalander-ali-suharwardi-07.jpg
shrine-of-abul-faiz-qalander-ali-suharwardi	Image 8	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-faiz-qalander-ali-suharwardi/abul-faiz-qalander-ali-suharwardi-08.jpg
shrine-of-abul-faiz-qalander-ali-suharwardi	Image 9	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-faiz-qalander-ali-suharwardi/abul-faiz-qalander-ali-suharwardi-09.jpg
shrine-of-abul-faiz-qalander-ali-suharwardi	Image 10	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-faiz-qalander-ali-suharwardi/abul-faiz-qalander-ali-suharwardi-10.jpg
shrine-of-baba-shah-chiragh	Image 1	5184	3456	1.5000	https://commons.wikimedia.org/wiki/Special:FilePath/Shah_Chiragh_Chambers_Lahore.jpg
shrine-of-bahauddin-zakariya	Image 1	800	552	1.4493	https://i.tribune.com.pk/media/images/1298511-bahauddinzakariyacopy-1484676791/1298511-bahauddinzakariyacopy-1484676791.jpg
shrine-of-bibi-pak-daman	Image 1	1599	899	1.7786	https://raufnawaz.github.io/Sufi-Shrines/photos/bibi-pak-daman/bibi-pak-daman-01.jpg
shrine-of-bibi-pak-daman	Image 2	899	1599	0.5622	https://raufnawaz.github.io/Sufi-Shrines/photos/bibi-pak-daman/bibi-pak-daman-06.jpg
