shrine	column	url	status	content_type	final_url	note	attempts	verdict
Darbar Ghazi Ilm Din Shaheed	Image 3	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-03.jpg	206	image/jpeg			1	alive
Darbar Ghazi Ilm Din Shaheed	Image 4	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-04.jpg	206	image/jpeg			1	alive
Darbar Ghazi Ilm Din Shaheed	Image 5	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-05.jpg	206	image/jpeg			1	alive
Darbar Ghazi Ilm Din Shaheed	Image 6	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-06.jpg	206	image/jpeg			1	alive
Darbar Ghazi Ilm Din Shaheed	Image 7	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-07.jpg	206	image/jpeg			1	alive
Darbar Ghazi Ilm Din Shaheed	Image 8	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-08.jpg	206	image/jpeg			1	alive
Darbar Ghazi Ilm Din Shaheed	Image 9	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-09.jpg	206	image/jpeg			1	alive
Darbar Hazrat Khawaja Feroz-ud-Din Gharib Nawaz Chishti Nizami	Image 1	https://raufnawaz.github.io/Sufi-Shrines/photos/khawaja-feroz-ud-din-gharib-nawaz/khawaja-feroz-ud-din-gharib-nawaz-01.jpg	206	image/jpeg			1	alive
Darbar Hazrat Khawaja Feroz-ud-Din Gharib Nawaz Chishti Nizami	Image 2	https://raufnawaz.github.io/Sufi-Shrines/photos/khawaja-feroz-ud-din-gharib-nawaz/khawaja-feroz-ud-din-gharib-nawaz-02.jpg	206	image/jpeg			1	alive
Darbar Hazrat Khawaja Feroz-ud-Din Gharib Nawaz Chishti Nizami	Image 3	https://raufnawaz.github.io/Sufi-Shrines/photos/khawaja-feroz-ud-din-gharib-nawaz/khawaja-feroz-ud-din-gharib-nawaz-03.jpg	206	image/jpeg			1	alive
Darbar Hazrat Khawaja Feroz-ud-Din Gharib Nawaz Chishti Nizami	Image 4	https://raufnawaz.github.io/Sufi-Shrines/photos/khawaja-feroz-ud-din-gharib-nawaz/khawaja-feroz-ud-din-gharib-nawaz-04.jpg	206	image/jpeg			1	alive
Darbar Hazrat Khawaja Feroz-ud-Din Gharib Nawaz Chishti Nizami	Image 5	https://raufnawaz.github.io/Sufi-Shrines/photos/khawaja-feroz-ud-din-gharib-nawaz/khawaja-feroz-ud-din-gharib-nawaz-05.jpg	206	image/jpeg			1	alive
Darbar Hazrat Khawaja Feroz-ud-Din Gharib Nawaz Chishti Nizami	Image 6	https://raufnawaz.github.io/Sufi-Shrines/photos/khawaja-feroz-ud-din-gharib-nawaz/khawaja-feroz-ud-din-gharib-nawaz-06.jpg	206	image/jpeg			1	alive
Darbar Hazrat Khawaja Feroz-ud-Din Gharib Nawaz Chishti Nizami	Image 7	https://raufnawaz.github.io/Sufi-Shrines/photos/khawaja-feroz-ud-din-gharib-nawaz/khawaja-feroz-ud-din-gharib-nawaz-07.jpg	206	image/jpeg			1	alive
Darbar Hazrat Khawaja Feroz-ud-Din Gharib Nawaz Chishti Nizami	Image 8	https://raufnawaz.github.io/Sufi-Shrines/photos/khawaja-feroz-ud-din-gharib-nawaz/khawaja-feroz-ud-din-gharib-nawaz-08.jpg	206	image/jpeg			1	alive
Darbar Hazrat Khawaja Feroz-ud-Din Gharib Nawaz Chishti Nizami	Image 9	https://raufnawaz.github.io/Sufi-Shrines/photos/khawaja-feroz-ud-din-gharib-nawaz/khawaja-feroz-ud-din-gharib-nawaz-09.jpg	206	image/jpeg			1	alive
Darbar Hazrat Khawaja Shah Muhammad Sulaiman Taunsvi (R.A)	Image 1	https://commons.wikimedia.org/wiki/Special:FilePath/Roof_of_Shrine_of_Hazrat_Muhammad_Suleman_Taunsvi.jpg	206	image/jpeg	https://upload.wikimedia.org/wikipedia/commons/e/ec/Roof_of_Shrine_of_Hazrat_Muhammad_Suleman_Taunsvi.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original		1	alive
Darbar Hazrat Tahir Bandagi Qadri	Image 1	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-01.jpg	206	image/jpeg			1	alive
Darbar Hazrat Tahir Bandagi Qadri	Image 10	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-10.jpg	206	image/jpeg			1	alive
Darbar Hazrat Tahir Bandagi Qadri	Image 2	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-02.jpg	206	image/jpeg			1	alive
Darbar Hazrat Tahir Bandagi Qadri	Image 3	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-03.jpg	206	image/jpeg			1	alive
Darbar Hazrat Tahir Bandagi Qadri	Image 4	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-04.jpg	206	image/jpeg			1	alive
Darbar Hazrat Tahir Bandagi Qadri	Image 5	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-05.jpg	206	image/jpeg			1	alive
Darbar Hazrat Tahir Bandagi Qadri	Image 6	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-06.jpg	206	image/jpeg			1	alive
Darbar Hazrat Tahir Bandagi Qadri	Image 7	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-07.jpg	206	image/jpeg			1	alive
Darbar Hazrat Tahir Bandagi Qadri	Image 8	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-08.jpg	206	image/jpeg			1	alive
Darbar Hazrat Tahir Bandagi Qadri	Image 9	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-09.jpg	206	image/jpeg			1	alive
Darbar Malik Ahmad Ayaz	Image 1	https://raufnawaz.github.io/Sufi-Shrines/photos/malik-ahmad-ayaz/malik-ahmad-ayaz-01.jpg	206	image/jpeg			1	alive
Darbar Malik Ahmad Ayaz	Image 2	https://raufnawaz.github.io/Sufi-Shrines/photos/malik-ahmad-ayaz/malik-ahmad-ayaz-02.jpg	206	image/jpeg			1	alive
Darbar Malik Ahmad Ayaz	Image 3	https://raufnawaz.github.io/Sufi-Shrines/photos/malik-ahmad-ayaz/malik-ahmad-ayaz-03.jpg	206	image/jpeg			1	alive
Darbar Malik Ahmad Ayaz	Image 4	https://raufnawaz.github.io/Sufi-Shrines/photos/malik-ahmad-ayaz/malik-ahmad-ayaz-04.jpg	206	image/jpeg			1	alive
Darbar Malik Ahmad Ayaz	Image 5	https://raufnawaz.github.io/Sufi-Shrines/photos/malik-ahmad-ayaz/malik-ahmad-ayaz-05.jpg	206	image/jpeg			1	alive
Darbar Malik Ahmad Ayaz	Image 6	https://raufnawaz.github.io/Sufi-Shrines/photos/malik-ahmad-ayaz/malik-ahmad-ayaz-06.jpg	206	image/jpeg			1	alive
Darbar Malik Ahmad Ayaz	Image 7	https://raufnawaz.github.io/Sufi-Shrines/photos/malik-ahmad-ayaz/malik-ahmad-ayaz-07.jpg	206	image/jpeg			1	alive
Darbar Malik Ahmad Ayaz	Image 8	https://raufnawaz.github.io/Sufi-Shrines/photos/malik-ahmad-ayaz/malik-ahmad-ayaz-08.jpg	206	image/jpeg			1	alive
Darbar Malik Ahmad Ayaz	Image 9	https://raufnawaz.github.io/Sufi-Shrines/photos/malik-ahmad-ayaz/malik-ahmad-ayaz-09.jpg	206	image/jpeg			1	alive
Darbar Sakhi Shah Chan Charagh	Image 1	https://commons.wikimedia.org/wiki/Special:FilePath/Darbar_chan_chiragh_Rawalpindi.png	206	image/png	https://upload.wikimedia.org/wikipedia/commons/5/5b/Darbar_chan_chiragh_Rawalpindi.png?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original		1	alive
Darbar Wasif Ali Wasif	Image 1	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-01.jpg	206	image/jpeg			1	alive
Darbar Wasif Ali Wasif	Image 10	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-10.jpg	206	image/jpeg			1	alive
Darbar Wasif Ali Wasif	Image 2	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-02.jpg	206	image/jpeg			1	alive
Darbar Wasif Ali Wasif	Image 3	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-03.jpg	206	image/jpeg			1	alive
Darbar Wasif Ali Wasif	Image 4	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-04.jpg	206	image/jpeg			1	alive
Darbar Wasif Ali Wasif	Image 5	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-05.jpg	206	image/jpeg			1	alive
Darbar Wasif Ali Wasif	Image 6	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-06.jpg	206	image/jpeg			1	alive
Darbar Wasif Ali Wasif	Image 7	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-07.jpg	206	image/jpeg			1	alive
