name	support_level	info_level	n_specific_sources	n_generic_lines	word_count	words_per_source
Shaktipeeth Shri Hinglaj Mata Mandir	Source-documented	Moderate	4	0	731	182.8
Shamsabad	Source-documented	Moderate	5	0	592	118.4
Sharada Peeth	Source-documented	Moderate	4	0	715	178.8
Shergarh	Source-seeded	Moderate	1	1	350	350.0
Shiv Mandir Chiti Ghati	Source-documented	Moderate	3	0	525	175.0
Shree Ratneshwar Mahadev Temple, Karachi	Source-documented	Moderate	2	0	566	283.0
Shri Laxmi Narayan Mandir (Native Jetty Bridge)	Source-documented	Moderate	2	0	531	265.5
Shri Panchmukhi Hanuman Mandir (Karachi)	Source-documented	Moderate	4	0	523	130.8
Shri Swaminarayan Mandir, Karachi	Source-documented	Moderate	4	0	504	126.0
Shri Varun Dev Mandir	Source-documented	Moderate	3	0	520	173.3
Shrine at Odero Lal (Udero Lal Teerath Asthan)	Source-seeded	Moderate	1	1	575	575.0
Shrine of Abdullah Shah Ghazi	Source-seeded	Moderate	1	1	455	455.0
Shrine of Abul Faiz Qalander Ali Suharwardi	Field-verified	Full	3	0	2314	771.3
Shrine of Akhund Darweza Baba	Web-compiled	Low	0	0	253	253.0
Shrine of Akhund Panju Baba	Web-compiled	Low	0	0	242	242.0
Shrine of Baba Shah Chiragh	Web-compiled	Low	0	0	280	280.0
Shrine of Baba Shah Kamal	Web-compiled	Low	0	0	271	271.0
Shrine of Bahauddin Zakariya	Source-seeded	Moderate	1	1	649	649.0
Shrine of Bibi Pak Daman	Field-verified	Full	6	0	3163	527.2
Shrine of Fariduddin Ganjshakar	Source-documented	Moderate	2	1	933	466.5
Shrine of Ganj e Inayat Sarkar	Field-verified	Full	2	0	1964	982.0
Shrine of Hafiz Muhammad Jamal Multani	Web-compiled	Low	0	0	205	205.0
Shrine of Hazrat Madho Lal Hussain (Shah Hussain Darbar)	Field-verified	Full	4	0	2875	718.8
Shrine of Hazrat Muhammad Ayub Shah Bukhari	Web-compiled	Low	0	0	230	230.0
Shrine of Hazrat Shah Ali Akbar (Shah Ali Akbar Shamsi)	Web-compiled	Low	0	0	226	226.0
Shrine of Hazrat Shah Daula Daryai	Source-documented	Moderate	4	0	1025	256.2
Shrine of Imam Ali-ul-Haq	Source-documented	Moderate	4	0	888	222.0
Shrine of Jalaluddin Surkh-Posh Bukhari (Jalaluddin Bukhari)	Source-seeded	Moderate	1	1	546	546.0
Shrine of Lakhi Shah Saddar	Source-documented	Moderate	4	0	756	189.0
Shrine of Makhdoom Abdul Rahim Girhori	Web-compiled	Low	0	0	204	204.0
Shrine of Makhdoom Jahaniyan Jahangasht	Source-seeded	Moderate	1	1	479	479.0
Shrine of Makhdoom Nooh (Hala)	Web-compiled	Low	0	0	206	206.0
Shrine of Mauj Darya Bukhari	Web-compiled	Low	0	0	676	676.0
Shrine of Mian Mir	Field-verified	Full	4	0	3280	820.0
Shrine of Mian Umar Baba (Chamkani)	Web-compiled	Low	0	0	220	220.0
Shrine of Miran Hussain Zanjani (Zanjani Sahib)	Web-compiled	Low	0	0	268	268.0
Shrine of Peer Makki	Web-compiled	Low	0	0	515	515.0
Shrine of Pir Baba (Syed Ali Tirmizi)	Web-compiled	Low	0	0	267	267.0
Shrine of Pir Chhatal Shah Noorani	Web-compiled	Low	0	0	245	245.0
Shrine of Pir Lakha (Aab-e-Shifa), Jhal Magsi	Web-compiled	Low	0	0	192	192.0
Shrine of Pir Mangho	Source-seeded	Moderate	1	1	412	412.0
Shrine of Pir Sher Muhammad	Source-seeded	Moderate	1	1	370	370.0
Shrine of Qalandar Baba Auliya	Source-documented	Moderate	2	0	380	190.0
Shrine of Sachal Sarmast	Source-documented	Moderate	2	1	563	281.5
Shrine of Shah Abdul Karim Bulri	Web-compiled	Low	0	0	213	213.0
Shrine of Shah Inayat Qadiri	Web-compiled	Low	0	0	272	272.0
Shrine of Shah Jamal	Web-compiled	Low	0	0	623	623.0
Shrine of Shah Rukn-e-Alam	Source-seeded	Moderate	1	1	485	485.0
Shrine of Shah Shams-ud-Din Sabzwari	Source-seeded	Moderate	1	1	417	417.0
Shrine of Shah Yusaf Gardez	Source-seeded	Moderate	1	1	384	384.0
Shrine of Syed Musa Pak	Source-seeded	Moderate	1	1	352	352.0
Sial Sharif	Source-seeded	Moderate	1	1	357	357.0
Swami Dharmdas Darbar, Larkana (Kennedy Market)	Web-compiled	Low	0	0	210	210.0
Tilla Jogian	Source-documented	Moderate	4	1	721	180.2
Tomb of Allama Iqbal (Mazar-e-Iqbal)	Field-verified	Full	4	0	3871	967.8
Tomb of Baha'al-Halim (Uch Sharif)	Web-compiled	Low	0	0	201	201.0
Tomb of Javindi Bibi	Source-seeded	Moderate	1	1	463	463.0
Tomb of Qutbuddin Aibak	Web-compiled	Low	0	0	262	262.0
Tomb of Ustad Nuriya	Web-compiled	Low	0	0	267	267.0
Umarkot (Amarkot) Shiv Mandir	Source-documented	Moderate	3	1	531	177.0
Valmik Mandir (Naqi Road)	Source-documented	Moderate	4	0	692	173.0
Valmiki Swamiji Mandir (Gracy Lines), Rawalpindi	Web-compiled	Low	0	0	226	226.0
Wadpagga Sharif	Source-documented	Moderate	3	0	606	202.0
Ziarat Kaka Sahib	Web-compiled	Low	0	0	300	300.0
